entity_type,entity_id,module,is_cmd_true_target,batch,cell_line,replicate,potency
gene,GENE_0004,7,0,5,0,2,0.6506174342764498
gene,GENE_0004,7,0,1,0,3,0.6932984539460192
gene,GENE_0004,7,0,1,1,0,0.6082185438158368
gene,GENE_0004,7,0,1,1,1,0.6751700644474233
gene,GENE_0004,7,0,2,1,2,0.5004809863841414
gene,GENE_0004,7,0,3,1,3,0.5318365470926341
gene,GENE_0004,7,0,5,2,0,0.6161069849457699
gene,GENE_0004,7,0,5,2,1,0.535717791687073
gene,GENE_0004,7,0,4,2,2,0.42492428728200105
gene,GENE_0004,7,0,0,2,3,0.35206463290151535
gene,GENE_0005,6,0,5,0,0,0.21021781362677164
gene,GENE_0005,6,0,5,0,1,0.44010099318884616
gene,GENE_0005,6,0,0,0,2,0.28506179957310956
gene,GENE_0005,6,0,3,0,3,0.40215223465518346
gene,GENE_0005,6,0,2,1,0,0.5778732995108876
gene,GENE_0005,6,0,4,1,1,0.3278168014888377
gene,GENE_0005,6,0,5,1,2,0.3871341929833606
gene,GENE_0005,6,0,0,1,3,0.42739620656189864
gene,GENE_0005,6,0,0,2,0,0.3501946256150331
gene,GENE_0005,6,0,4,2,1,0.3774433553719383
gene,GENE_0005,6,0,3,2,2,0.26986404623566207
gene,GENE_0005,6,0,1,2,3,0.34981614922091975
gene,GENE_0006,2,0,5,0,0,0.5403504321253231
gene,GENE_0006,2,0,3,0,1,0.4819572816446948
gene,GENE_0006,2,0,0,0,2,0.7341422957927218
gene,GENE_0006,2,0,1,0,3,0.6356812556656786
gene,GENE_0006,2,0,5,1,0,0.5984647190018246
gene,GENE_0006,2,0,1,1,1,0.6257721339680299
gene,GENE_0006,2,0,1,1,2,0.6291618226371744
gene,GENE_0006,2,0,0,1,3,0.657065164979054
gene,GENE_0006,2,0,1,2,0,0.5615273312123272
gene,GENE_0006,2,0,4,2,1,0.639247095000678
gene,GENE_0006,2,0,1,2,2,0.6523142934876603
gene,GENE_0006,2,0,1,2,3,0.655929889557667
gene,GENE_0007,0,0,5,0,0,0.2985052685225086
gene,GENE_0007,0,0,5,0,1,0.2507859342348872
gene,GENE_0007,0,0,2,0,2,0.2528793934539661
gene,GENE_0007,0,0,1,0,3,0.2567526809041399
gene,GENE_0007,0,0,3,1,0,0.20556668306206793
gene,GENE_0007,0,0,0,1,1,0.17257511791275304
gene,GENE_0007,0,0,4,1,2,0.2844670683771669
gene,GENE_0007,0,0,5,1,3,0.18949256085470764
gene,GENE_0007,0,0,0,2,0,0.1559516175555734
gene,GENE_0007,0,0,1,2,1,0.2684895612836688
gene,GENE_0007,0,0,5,2,2,0.20510400677074744
gene,GENE_0007,0,0,1,2,3,0.1630198047838664
gene,GENE_0008,2,0,5,0,0,0.45126301145034614
gene,GENE_0008,2,0,5,0,1,0.5884279672261415
gene,GENE_0008,2,0,0,0,2,0.4148405428563881
gene,GENE_0008,2,0,5,0,3,0.6452425421158943
gene,GENE_0008,2,0,4,1,0,0.35786705118024187
gene,GENE_0008,2,0,2,1,1,0.5364598198587134
gene,GENE_0008,2,0,5,1,2,0.6591524167978172
gene,GENE_0008,2,0,1,1,3,0.4892125783252587
gene,GENE_0008,2,0,0,2,0,0.4774577633269723
gene,GENE_0008,2,0,4,2,1,0.562505359037386
gene,GENE_0008,2,0,0,2,2,0.4701673265967805
gene,GENE_0008,2,0,0,2,3,0.4619736090079705
gene,GENE_0009,6,0,4,0,0,0.33782298534540983
gene,GENE_0009,6,0,1,0,1,0.2551429056100757
gene,GENE_0009,6,0,2,0,2,0.34051591354474703
gene,GENE_0009,6,0,1,0,3,0.5063665717291075
gene,GENE_0009,6,0,5,1,0,0.34430719241964175
gene,GENE_0009,6,0,4,1,1,0.22231585463597398
gene,GENE_0009,6,0,1,1,2,0.3927139307384888
gene,GENE_0009,6,0,5,1,3,0.3934464494130754
gene,GENE_0009,6,0,3,2,0,0.3134454554470762
gene,GENE_0009,6,0,2,2,1,0.4007362654193008
gene,GENE_0009,6,0,3,2,2,0.2926839959192443
gene,GENE_0009,6,0,5,2,3,0.34622694169294327
gene,GENE_0010,2,0,3,0,0,0.9474356814914144
gene,GENE_0010,2,0,1,0,1,0.9199332306956077
gene,GENE_0010,2,0,2,0,2,0.9244505729270591
gene,GENE_0010,2,0,4,0,3,1.025856564978858
gene,GENE_0010,2,0,0,1,0,0.8402857084813936
gene,GENE_0010,2,0,1,1,1,1.0505715894677374
gene,GENE_0010,2,0,0,1,2,1.11149817138245
gene,GENE_0010,2,0,3,1,3,0.9466322804008134
gene,GENE_0010,2,0,4,2,0,1.030401524861888
gene,GENE_0010,2,0,1,2,1,0.9819848567652215
gene,GENE_0010,2,0,0,2,2,0.8882389568353553
gene,GENE_0010,2,0,1,2,3,0.9036441819647844
gene,GENE_0011,4,0,5,0,0,0.7289442493142021
gene,GENE_0011,4,0,2,0,1,0.6931174744927403
gene,GENE_0011,4,0,0,0,2,0.5591097128153769
gene,GENE_0011,4,0,1,0,3,0.6932299234866177
gene,GENE_0011,4,0,0,1,0,0.6157227732385102
gene,GENE_0011,4,0,5,1,1,0.743461564619081
gene,GENE_0011,4,0,1,1,2,0.7022718869855655
gene,GENE_0011,4,0,1,1,3,0.6573425012319176
gene,GENE_0011,4,0,1,2,0,0.6232067236018586
gene,GENE_0011,4,0,3,2,1,0.6754755383205648
gene,GENE_0011,4,0,3,2,2,0.660952776369808
gene,GENE_0011,4,0,5,2,3,0.5876996202039039
gene,GENE_0012,4,0,2,0,0,0.7544468316493605
gene,GENE_0012,4,0,1,0,1,0.6456032511092121
gene,GENE_0012,4,0,0,0,2,0.7293497284449674
gene,GENE_0012,4,0,2,0,3,0.7400035623398699
gene,GENE_0012,4,0,1,1,0,0.580570779998143
gene,GENE_0012,4,0,1,1,1,0.6261925184950059
gene,GENE_0012,4,0,4,1,2,0.6105784387718417
gene,GENE_0012,4,0,5,1,3,0.6007023671964526
gene,GENE_0012,4,0,3,2,0,0.6926665161928175
gene,GENE_0012,4,0,0,2,1,0.514208456510768
gene,GENE_0012,4,0,2,2,2,0.6938884044857038
gene,GENE_0012,4,0,0,2,3,0.6007044109003937
gene,GENE_0013,7,0,2,0,0,0.8858656378754142
gene,GENE_0013,7,0,5,0,1,0.8658772902462977
gene,GENE_0013,7,0,2,0,2,0.8705606250177522
gene,GENE_0013,7,0,2,0,3,1.0013922281779177
gene,GENE_0013,7,0,5,1,0,1.084282571305915
gene,GENE_0013,7,0,1,1,1,0.978675903332585
gene,GENE_0013,7,0,4,1,2,0.9674091965915769
gene,GENE_0013,7,0,3,1,3,0.9817545505131721
gene,GENE_0013,7,0,5,2,0,0.9964395607982719
gene,GENE_0013,7,0,3,2,1,0.9325343977013913
gene,GENE_0013,7,0,3,2,2,0.9681119007802381
gene,GENE_0013,7,0,5,2,3,0.9667269864809369
gene,GENE_0014,0,0,3,0,0,0.2847500992196249
gene,GENE_0014,0,0,1,0,1,0.29736627698080453
gene,GENE_0014,0,0,2,0,2,0.15526252580433686
gene,GENE_0014,0,0,1,0,3,0.37063805543643014
gene,GENE_0014,0,0,0,1,0,0.23083808692543198
gene,GENE_0014,0,0,5,1,1,0.12586085463424143
gene,GENE_0014,0,0,5,1,2,0.15792728917585497
gene,GENE_0014,0,0,0,1,3,0.23661388545273737
gene,GENE_0014,0,0,1,2,0,0.11700461768935833
gene,GENE_0014,0,0,5,2,1,0.1673117078265002
gene,GENE_0014,0,0,5,2,2,0.21319818779181968
gene,GENE_0014,0,0,5,2,3,0.31014030713108653
gene,GENE_0015,5,0,5,0,0,0.3317473364634408
gene,GENE_0015,5,0,1,0,1,0.25875902166931214
gene,GENE_0015,5,0,1,0,2,0.3203167768924031
gene,GENE_0015,5,0,2,0,3,0.25160379154006574
gene,GENE_0015,5,0,4,1,0,0.27549378947399045
gene,GENE_0015,5,0,3,1,1,0.32425517092442396
gene,GENE_0015,5,0,2,1,2,0.16190562684329593
gene,GENE_0015,5,0,1,1,3,0.35666228902997094
gene,GENE_0015,5,0,2,2,0,0.3044967209135299
gene,GENE_0015,5,0,0,2,1,0.2746286241750793
gene,GENE_0015,5,0,4,2,2,0.26026606949341785
gene,GENE_0015,5,0,2,2,3,0.25882242156488033
gene,GENE_0016,4,0,0,0,0,0.38621667350523914
gene,GENE_0016,4,0,4,0,1,0.463717315264926
gene,GENE_0016,4,0,5,0,2,0.3809308161668074
gene,GENE_0016,4,0,4,0,3,0.5554845868229958
gene,GENE_0016,4,0,1,1,0,0.39617297820834557
gene,GENE_0016,4,0,4,1,1,0.43377770303429736
gene,GENE_0016,4,0,2,1,2,0.44008937215641625
gene,GENE_0016,4,0,5,1,3,0.5382513574738834
gene,GENE_0016,4,0,5,2,0,0.37178422863142474
gene,GENE_0016,4,0,3,2,1,0.37705307473963173
gene,GENE_0016,4,0,1,2,2,0.39916314956110194
gene,GENE_0016,4,0,5,2,3,0.37608394438977033
gene,GENE_0017,5,0,1,0,0,0.9108756820412471
gene,GENE_0017,5,0,2,0,1,0.87958336659691
gene,GENE_0017,5,0,1,0,2,0.9493010327271114
gene,GENE_0017,5,0,3,0,3,0.954535434412163
gene,GENE_0017,5,0,0,1,0,0.8276437970770294
gene,GENE_0017,5,0,2,1,1,0.920136046750434
gene,GENE_0017,5,0,2,1,2,0.931706462133079
gene,GENE_0017,5,0,4,1,3,0.957437650395453
gene,GENE_0017,5,0,3,2,0,0.9460696284249194
gene,GENE_0017,5,0,0,2,1,0.9447304241435058
gene,GENE_0017,5,0,2,2,2,0.8780052080295995
gene,GENE_0017,5,0,4,2,3,0.9731515652843675
gene,GENE_0018,0,0,3,0,0,0.847824261898177
gene,GENE_0018,0,0,0,0,1,0.7083804949961713
gene,GENE_0018,0,0,3,0,2,0.6992593561798539
gene,GENE_0018,0,0,0,0,3,0.7840134934276333
gene,GENE_0018,0,0,5,1,0,0.7593667037084578
gene,GENE_0018,0,0,5,1,1,0.7520862884665259
gene,GENE_0018,0,0,3,1,2,0.6911859899368681
gene,GENE_0018,0,0,0,1,3,0.66554456910814
gene,GENE_0018,0,0,4,2,0,0.6072610174906419
gene,GENE_0018,0,0,1,2,1,0.7164412622506148
gene,GENE_0018,0,0,2,2,2,0.7437919836485669
gene,GENE_0018,0,0,1,2,3,0.7081502734795158
gene,GENE_0019,0,0,4,0,0,0.8678262995805913
gene,GENE_0019,0,0,2,0,1,0.8340754141109658
gene,GENE_0019,0,0,2,0,2,0.7511841491842164
gene,GENE_0019,0,0,5,0,3,0.732955042918234
gene,GENE_0019,0,0,2,1,0,0.8244199081562523
gene,GENE_0019,0,0,2,1,1,0.8287064477451007
gene,GENE_0019,0,0,2,1,2,0.7186089256632555
gene,GENE_0019,0,0,2,1,3,0.73322363084809
gene,GENE_0019,0,0,1,2,0,0.8169755428952543
gene,GENE_0019,0,0,5,2,1,0.7668402852593131
gene,GENE_0019,0,0,3,2,2,0.7673528376917157
gene,GENE_0019,0,0,1,2,3,1.0131289774200547
gene,GENE_0020,4,0,3,0,0,0.8160826942906498
gene,GENE_0020,4,0,1,0,1,0.705498213491199
gene,GENE_0020,4,0,2,0,2,0.7441925640489828
gene,GENE_0020,4,0,2,0,3,0.742701075821947
gene,GENE_0020,4,0,3,1,0,0.7523462735589541
gene,GENE_0020,4,0,1,1,1,0.8327329910813029
gene,GENE_0020,4,0,4,1,2,0.7710262381676322
gene,GENE_0020,4,0,3,1,3,0.6644805834955597
gene,GENE_0020,4,0,5,2,0,0.6937097804159216
gene,GENE_0020,4,0,3,2,1,0.7172260537924734
gene,GENE_0020,4,0,4,2,2,0.7804065709145596
gene,GENE_0020,4,0,3,2,3,0.7845617216017918
gene,GENE_0021,5,0,2,0,0,0.33572112443737284
gene,GENE_0021,5,0,3,0,1,0.42608940348573493
gene,GENE_0021,5,0,5,0,2,0.2677852428112961
gene,GENE_0021,5,0,0,0,3,0.2742347849448098
gene,GENE_0021,5,0,4,1,0,0.28060592155022107
gene,GENE_0021,5,0,0,1,1,0.4434238143921207
gene,GENE_0021,5,0,0,1,2,0.37733478522435476
gene,GENE_0021,5,0,3,1,3,0.3313093601937923
gene,GENE_0021,5,0,3,2,0,0.41617195988689737
gene,GENE_0021,5,0,3,2,1,0.3556755008713013
gene,GENE_0021,5,0,5,2,2,0.4741657743382147
gene,GENE_0021,5,0,0,2,3,0.3679849662049751
gene,GENE_0022,7,0,3,0,0,0.9826571894302228
gene,GENE_0022,7,0,5,0,1,0.8578232311828926
gene,GENE_0022,7,0,5,0,2,0.8658227569653095
gene,GENE_0022,7,0,4,0,3,0.8699399109381436
gene,GENE_0022,7,0,2,1,0,1.0044709081827035
gene,GENE_0022,7,0,4,1,1,0.8730191688398949
gene,GENE_0022,7,0,0,1,2,0.912436373582882
gene,GENE_0022,7,0,5,1,3,0.8652888470834152
gene,GENE_0022,7,0,0,2,0,1.0385121961327808
gene,GENE_0022,7,0,3,2,1,0.9091379747800453
gene,GENE_0022,7,0,4,2,2,0.9366613547320136
gene,GENE_0022,7,0,2,2,3,0.8450468979803956
gene,GENE_0023,1,0,4,0,0,0.856941667118541
gene,GENE_0023,1,0,4,0,1,0.7563603608414464
gene,GENE_0023,1,0,5,0,2,0.9713288036382763
gene,GENE_0023,1,0,4,0,3,0.7632630070522564
gene,GENE_0023,1,0,2,1,0,0.9073637831421354
gene,GENE_0023,1,0,3,1,1,0.9659711779089839
gene,GENE_0023,1,0,1,1,2,0.7564443058044179
gene,GENE_0023,1,0,3,1,3,0.8957320811938329
gene,GENE_0023,1,0,1,2,0,0.8196821760623773
gene,GENE_0023,1,0,4,2,1,0.9768862386623488
gene,GENE_0023,1,0,5,2,2,0.8902251224803731
gene,GENE_0023,1,0,1,2,3,0.7975777210028454
gene,GENE_0024,1,0,0,0,0,0.6338997607058049
gene,GENE_0024,1,0,4,0,1,0.5456521150689346
gene,GENE_0024,1,0,3,0,2,0.5874165302997768
gene,GENE_0024,1,0,3,0,3,0.6577268699592944
gene,GENE_0024,1,0,5,1,0,0.4388116678910202
gene,GENE_0024,1,0,1,1,1,0.40302682562040615
gene,GENE_0024,1,0,0,1,2,0.4343036463391652
gene,GENE_0024,1,0,3,1,3,0.3998387329115405
gene,GENE_0024,1,0,1,2,0,0.5686402609579272
gene,GENE_0024,1,0,3,2,1,0.5016545332944073
gene,GENE_0024,1,0,2,2,2,0.5853862505690615
gene,GENE_0024,1,0,0,2,3,0.5596295449764808
gene,GENE_0025,0,0,5,0,0,0.9270790035718695
gene,GENE_0025,0,0,0,0,1,0.8261058583150528
gene,GENE_0025,0,0,3,0,2,0.7841049123680636
gene,GENE_0025,0,0,2,0,3,0.8591316583030081
gene,GENE_0025,0,0,0,1,0,1.0064824239019026
gene,GENE_0025,0,0,0,1,1,0.9115374698884655
gene,GENE_0025,0,0,4,1,2,0.885660331608735
gene,GENE_0025,0,0,4,1,3,0.8864157448464692
gene,GENE_0025,0,0,0,2,0,0.9839713605532525
gene,GENE_0025,0,0,4,2,1,0.6911131791728935
gene,GENE_0025,0,0,4,2,2,0.9198719118769441
gene,GENE_0025,0,0,0,2,3,0.7258763297922082
gene,GENE_0026,5,0,2,0,0,0.5814345329175803
gene,GENE_0026,5,0,0,0,1,0.4467142337995905
gene,GENE_0026,5,0,5,0,2,0.3637131692359548
gene,GENE_0026,5,0,0,0,3,0.48675510586045345
gene,GENE_0026,5,0,4,1,0,0.5685823163965535
gene,GENE_0026,5,0,5,1,1,0.5183136938915603
gene,GENE_0026,5,0,4,1,2,0.573258038141108
gene,GENE_0026,5,0,1,1,3,0.5885532120997529
gene,GENE_0026,5,0,2,2,0,0.5290714034114703
gene,GENE_0026,5,0,3,2,1,0.43007730205327077
gene,GENE_0026,5,0,5,2,2,0.659208269067547
gene,GENE_0026,5,0,3,2,3,0.4583642152755133
gene,GENE_0027,3,0,0,0,0,0.511758176340707
gene,GENE_0027,3,0,1,0,1,0.6547294439297922
gene,GENE_0027,3,0,5,0,2,0.7135621689062308
gene,GENE_0027,3,0,4,0,3,0.4528817026185999
gene,GENE_0027,3,0,5,1,0,0.55284612289682
gene,GENE_0027,3,0,5,1,1,0.7603282193181459
gene,GENE_0027,3,0,0,1,2,0.5422876637746993
gene,GENE_0027,3,0,4,1,3,0.570928051336835
gene,GENE_0027,3,0,2,2,0,0.6021864078581223
gene,GENE_0027,3,0,5,2,1,0.48979938339492607
gene,GENE_0027,3,0,1,2,2,0.5926186794647731
gene,GENE_0027,3,0,4,2,3,0.5657083308806647
gene,GENE_0028,4,0,2,0,0,0.9774042815175027
gene,GENE_0028,4,0,0,0,1,0.8906714890292071
gene,GENE_0028,4,0,1,0,2,0.8141043223650826
gene,GENE_0028,4,0,3,0,3,0.9283475921208757
gene,GENE_0028,4,0,3,1,0,0.8050734629197281
gene,GENE_0028,4,0,5,1,1,0.8145587639919907
gene,GENE_0028,4,0,4,1,2,0.7872950478117638
gene,GENE_0028,4,0,2,1,3,0.8402721854970415
gene,GENE_0028,4,0,4,2,0,0.8758747491761435
gene,GENE_0028,4,0,4,2,1,0.791023915647254
gene,GENE_0028,4,0,1,2,2,0.8855365210887801
gene,GENE_0028,4,0,2,2,3,0.6957216824215361
gene,GENE_0029,7,0,0,0,0,0.9553108604969014
gene,GENE_0029,7,0,3,0,1,1.0553932459378739
gene,GENE_0029,7,0,0,0,2,0.9029158100170801
gene,GENE_0029,7,0,3,0,3,1.0314089602460559
gene,GENE_0029,7,0,5,1,0,0.770641503343245
gene,GENE_0029,7,0,5,1,1,0.9474931565903525
gene,GENE_0029,7,0,1,1,2,0.9447515058858141
gene,GENE_0029,7,0,1,1,3,0.9719927227191935
gene,GENE_0029,7,0,0,2,0,0.9569915414003249
gene,GENE_0029,7,0,4,2,1,0.9507315005448664
gene,GENE_0029,7,0,1,2,2,1.050074658246334
gene,GENE_0029,7,0,2,2,3,1.0547315565428352
gene,GENE_0030,3,0,2,0,0,0.4435299729609967
gene,GENE_0030,3,0,0,0,1,0.442789817813411
gene,GENE_0030,3,0,5,0,2,0.305276726437572
gene,GENE_0030,3,0,3,0,3,0.2481625098632339
gene,GENE_0030,3,0,5,1,0,0.261430185269612
gene,GENE_0030,3,0,3,1,1,0.39083206747623744
gene,GENE_0030,3,0,1,1,2,0.3044369844848557
gene,GENE_0030,3,0,1,1,3,0.19691879931555012
gene,GENE_0030,3,0,1,2,0,0.35184174554825837
gene,GENE_0030,3,0,2,2,1,0.3814685684902004
gene,GENE_0030,3,0,5,2,2,0.19987208166197923
gene,GENE_0030,3,0,5,2,3,0.1814189719114247
gene,GENE_0031,0,0,1,0,0,0.9552357649174338
gene,GENE_0031,0,0,1,0,1,0.8555918357109266
gene,GENE_0031,0,0,1,0,2,1.074848798171215
gene,GENE_0031,0,0,5,0,3,0.939671938565086
gene,GENE_0031,0,0,0,1,0,1.0173032126018882
gene,GENE_0031,0,0,3,1,1,0.8412482810679196
gene,GENE_0031,0,0,5,1,2,0.8830005869116081
gene,GENE_0031,0,0,3,1,3,1.0103095682091114
gene,GENE_0031,0,0,4,2,0,0.960098429595473
gene,GENE_0031,0,0,1,2,1,0.9531048397984654
gene,GENE_0031,0,0,3,2,2,1.0472378698773444
gene,GENE_0031,0,0,4,2,3,1.046909598052969
gene,GENE_0032,2,0,0,0,0,1.0249329511010727
gene,GENE_0032,2,0,4,0,1,0.882428674422388
gene,GENE_0032,2,0,4,0,2,0.9005741864073719
gene,GENE_0032,2,0,0,0,3,0.9213644739546681
gene,GENE_0032,2,0,3,1,0,1.0132175133954147
gene,GENE_0032,2,0,5,1,1,1.0404994260220757
gene,GENE_0032,2,0,1,1,2,1.0562314604094731
gene,GENE_0032,2,0,2,1,3,1.0560882047220772
gene,GENE_0032,2,0,5,2,0,0.9109091412778595
gene,GENE_0032,2,0,5,2,1,1.119809823338532
gene,GENE_0032,2,0,2,2,2,0.9929753276901556
gene,GENE_0032,2,0,0,2,3,0.7367634082796553
gene,GENE_0033,7,0,3,0,0,0.4536209290671896
gene,GENE_0033,7,0,4,0,1,0.5358255505799747
gene,GENE_0033,7,0,5,0,2,0.4843990480896255
gene,GENE_0033,7,0,0,0,3,0.34592494404978014
gene,GENE_0033,7,0,3,1,0,0.26887849979886347
gene,GENE_0033,7,0,5,1,1,0.4393781750435039
gene,GENE_0033,7,0,5,1,2,0.5115491559056917
gene,GENE_0033,7,0,3,1,3,0.28500476309205536
gene,GENE_0033,7,0,2,2,0,0.32260220506943665
gene,GENE_0033,7,0,0,2,1,0.3969274832435203
gene,GENE_0033,7,0,2,2,2,0.3514673996879333
gene,GENE_0033,7,0,1,2,3,0.30179300270492104
gene,GENE_0034,2,0,5,0,0,0.8428033387451059
gene,GENE_0034,2,0,1,0,1,1.0093430848396339
gene,GENE_0034,2,0,2,0,2,0.8098675515163036
gene,GENE_0034,2,0,3,0,3,0.8197631002844354
gene,GENE_0034,2,0,4,1,0,0.8907695198506914
gene,GENE_0034,2,0,1,1,1,0.9719756213360186
gene,GENE_0034,2,0,5,1,2,0.8687738300605058
gene,GENE_0034,2,0,5,1,3,0.9864804891515114
gene,GENE_0034,2,0,5,2,0,0.905663405862902
gene,GENE_0034,2,0,2,2,1,0.881253295392312
gene,GENE_0034,2,0,2,2,2,0.9772530782393608
gene,GENE_0034,2,0,1,2,3,0.9531136990097038
gene,GENE_0035,3,0,1,0,0,0.7228749699027339
gene,GENE_0035,3,0,0,0,1,0.8286058537772029
gene,GENE_0035,3,0,0,0,2,0.8832286329571328
gene,GENE_0035,3,0,1,0,3,0.8466661540621064
gene,GENE_0035,3,0,2,1,0,0.6947315714637315
gene,GENE_0035,3,0,4,1,1,0.6387650622114284
gene,GENE_0035,3,0,3,1,2,0.8298974438596888
gene,GENE_0035,3,0,5,1,3,0.7789177521493327
gene,GENE_0035,3,0,3,2,0,0.779867921316634
gene,GENE_0035,3,0,5,2,1,0.7229403360930837
gene,GENE_0035,3,0,1,2,2,0.6627117668406215
gene,GENE_0035,3,0,3,2,3,0.9288256958172905
gene,GENE_0036,4,0,5,0,0,0.8644341529182229
gene,GENE_0036,4,0,3,0,1,0.8249800063219332
gene,GENE_0036,4,0,4,0,2,0.8736519137893288
gene,GENE_0036,4,0,2,0,3,0.7675008215709195
gene,GENE_0036,4,0,2,1,0,0.8739538632463514
gene,GENE_0036,4,0,1,1,1,0.899423854828971
gene,GENE_0036,4,0,0,1,2,1.0621806064626358
gene,GENE_0036,4,0,1,1,3,0.8665420399255672
gene,GENE_0036,4,0,1,2,0,0.7654233374598185
gene,GENE_0036,4,0,1,2,1,0.7736280324237892
gene,GENE_0036,4,0,1,2,2,0.733439549507852
gene,GENE_0036,4,0,0,2,3,0.7935700011693603
gene,GENE_0037,6,0,3,0,0,0.2229597609925489
gene,GENE_0037,6,0,0,0,1,0.39222310687701667
gene,GENE_0037,6,0,3,0,2,0.4373311801262408
gene,GENE_0037,6,0,3,0,3,0.48889503096481757
gene,GENE_0037,6,0,1,1,0,0.4414122037730335
gene,GENE_0037,6,0,3,1,1,0.4064355693938246
gene,GENE_0037,6,0,1,1,2,0.5419585741268552
gene,GENE_0037,6,0,3,1,3,0.49578731204337734
gene,GENE_0037,6,0,0,2,0,0.4768346465055875
gene,GENE_0037,6,0,4,2,1,0.44108070523339554
gene,GENE_0037,6,0,1,2,2,0.5469034362440606
gene,GENE_0037,6,0,4,2,3,0.44572183874241583
gene,GENE_0038,4,0,5,0,0,0.5045365192807695
gene,GENE_0038,4,0,1,0,1,0.5141138485307191
gene,GENE_0038,4,0,5,0,2,0.5678137335149764
gene,GENE_0038,4,0,4,0,3,0.6825300821343432
gene,GENE_0038,4,0,3,1,0,0.4627980682964439
gene,GENE_0038,4,0,5,1,1,0.4016110697306986
gene,GENE_0038,4,0,5,1,2,0.5040314549340693
gene,GENE_0038,4,0,3,1,3,0.5756717560095519
gene,GENE_0038,4,0,1,2,0,0.5121051010749857
gene,GENE_0038,4,0,4,2,1,0.6154908200254031
gene,GENE_0038,4,0,1,2,2,0.46058058097650445
gene,GENE_0038,4,0,1,2,3,0.4087534757381259
gene,GENE_0039,1,0,0,0,0,0.24916119355690233
gene,GENE_0039,1,0,0,0,1,0.19019104862493819
gene,GENE_0039,1,0,0,0,2,0.3319394574844692
gene,GENE_0039,1,0,4,0,3,0.2620301004822563
gene,GENE_0039,1,0,0,1,0,0.38700742965096163
gene,GENE_0039,1,0,2,1,1,0.2737406916965264
gene,GENE_0039,1,0,0,1,2,0.2854462133534117
gene,GENE_0039,1,0,3,1,3,0.29972685192176024
gene,GENE_0039,1,0,5,2,0,0.29445469063019347
gene,GENE_0039,1,0,1,2,1,0.1547199244793307
gene,GENE_0039,1,0,4,2,2,0.08261519253772415
gene,GENE_0039,1,0,1,2,3,0.357468146265659
gene,GENE_0040,2,0,4,0,0,0.8314297158536036
gene,GENE_0040,2,0,5,0,1,0.6889286358475473
