entity_id,cluster,module,integrated_score,cmd_prob,phenotype_strength,cross_modal_concordance,compound_support,compound_support_count,graph_centrality,is_cmd_true_target
GENE_1112,23,1,0.822975911572075,0.7999999999999999,11.670044,0.17779273,0.31542912125587463,1,42.0,1
GENE_1136,23,1,0.8196110835250981,1.0,10.997256,0.19951843,0.32081669569015503,1,40.0,1
GENE_0892,23,1,0.8195753191083498,1.0,10.739209,0.2364822,0.3199434280395508,1,58.0,1
GENE_0455,23,1,0.8185078874904105,1.0,10.637205,0.33547965,0.345464825630188,1,38.0,1
GENE_0895,23,1,0.8180764156634556,0.8333333333333334,10.361899,0.12772644,0.6283972561359406,2,53.0,1
GENE_0452,25,3,0.8126063685967438,0.8888888888888888,10.72106,0.27003837,0.30017468333244324,1,39.0,1
GENE_0928,25,3,0.8122960685857734,0.8571428571428571,10.367647,0.2446647,0.41076260805130005,1,45.0,1
GENE_0441,25,3,0.805120144095663,1.0,10.296286,0.15681432,0.7084642350673676,2,34.0,1
GENE_0366,25,3,0.8028434632549355,0.8338925461209561,10.98787,0.1669416,0.3460571765899658,1,37.0,1
GENE_0079,23,1,0.8000000077486038,0.8888888888888888,11.943911,0.39771637,0.0,0,58.0,1
GENE_0162,25,3,0.7973815661591414,0.45972003688880453,11.836015,0.23527955,0.3841855227947235,1,28.0,1
GENE_0601,25,3,0.7932250740721835,0.23845839867475072,11.277986,0.40352538,0.6675109267234802,2,43.0,1
GENE_0335,23,1,0.7900297113774737,1.0,10.394831,0.3338096,0.3229769468307495,1,36.0,1
GENE_0887,23,1,0.7885825220985812,0.35213822368613457,11.025613,0.043045588,0.6423195898532867,2,29.0,0
GENE_0167,25,3,0.7877499283696693,0.7777777777777777,11.264013,0.1771629,0.31298473477363586,1,33.0,1
GENE_0353,23,1,0.7864275528134442,0.671957671957672,9.348217,0.4326105,0.6233745217323303,2,40.0,1
GENE_0934,25,3,0.7859193139470514,0.8148148148148149,11.3476,0.12907846,0.3347168266773224,1,35.0,1
GENE_1088,23,1,0.7851539661788721,0.7037037037037033,10.956749,0.101123326,0.3617643117904663,1,37.0,1
GENE_0285,25,3,0.7807382590836298,0.7222222222222223,10.461026,0.20363471,0.390995591878891,1,36.0,1
GENE_0990,25,3,0.7770497608184814,1.0,12.238336,0.21452992,0.0,0,50.0,1
GENE_0740,23,1,0.7744051328468948,0.8888888888888888,9.897853,0.25552765,0.36365193128585815,1,51.0,1
GENE_1142,25,3,0.7685253269447323,0.7037037037037037,10.463463,0.20125622,0.368377149105072,1,34.0,1
GENE_0824,23,1,0.7653120389678273,0.8571428571428571,10.152666,0.26239038,0.35396379232406616,1,35.0,1
GENE_0507,23,1,0.7586956264394383,0.7777777777777777,11.967522,0.24529696,0.0,0,35.0,1
GENE_0463,25,3,0.7542005827967656,0.3686530799733199,10.130182,0.4882653,0.35427555441856384,1,30.0,1
GENE_0504,25,3,0.751801834651696,0.8571428571428571,10.127066,0.1501333,0.3124222159385681,1,46.0,1
GENE_0481,23,1,0.7506249033007073,1.0,10.9339285,0.3308258,0.0,0,31.0,1
GENE_1165,25,3,0.73409696337795,0.7222222222222223,9.227293,0.11426753,0.6190178096294403,2,43.0,1
GENE_0515,25,3,0.7296477055626099,0.611111111111111,10.636977,0.06711425,0.3355768024921417,1,32.0,0
GENE_0456,23,1,0.7201090320326025,0.8888888888888888,10.0843315,0.054144554,0.3443950116634369,1,40.0,1
GENE_0465,23,1,0.7046330970298789,0.8148148148148149,9.891205,0.19475156,0.328652948141098,1,30.0,1
GENE_0672,23,1,0.6770128696696285,0.27474747474747474,8.278798,0.27720758,1.033640742301941,3,33.0,0
GENE_0865,25,3,0.6750467189307094,1.0,11.664495,-0.13790527,0.0,0,41.0,1
GENE_1174,25,3,0.6740425804054104,0.22751322751322753,10.41523,0.2839107,0.3254637122154236,1,43.0,0
GENE_0696,23,1,0.6707233843250976,0.4719576719576719,9.71681,0.15567434,0.31034907698631287,1,28.0,0
GENE_0138,23,1,0.6702654217760051,0.8571428571428571,9.480675,0.0026545897,0.3581475615501404,1,41.0,1
GENE_1121,25,3,0.6684325800897055,0.6969696969696969,9.228875,0.12678555,0.40281978249549866,1,34.0,1
GENE_0137,23,1,0.6672443994617929,0.37566137566137564,9.815944,0.17882891,0.0,0,38.0,0
GENE_1129,27,1,0.6513341973409955,0.27474747474747474,10.190469,0.08537926,0.6585250496864319,2,26.0,0
GENE_0571,25,3,0.6417463496387706,0.12289562289562289,10.925229,0.13896877,1.3142109811306,4,27.0,1
GENE_0111,23,1,0.6415036619379558,0.7037037037037037,10.091845,0.15591124,0.0,0,28.0,1
GENE_0147,25,3,0.6351757305860519,0.8888888888888888,9.308656,0.13456407,0.0,0,51.0,1
GENE_1141,25,3,0.629113124121355,0.14722222222222223,9.992615,0.41653347,0.698191374540329,2,50.0,0
GENE_0871,23,1,0.6266127142870626,0.15224545616516888,9.077161,0.29356518,1.4233244359493256,4,37.0,0
GENE_1107,25,3,0.625152045858256,0.1523478484669614,10.259266,0.34696713,0.6711449027061462,2,36.0,0
GENE_0901,23,1,0.6227893608789287,0.8333333333333334,10.195818,0.04905829,0.0,0,29.0,1
GENE_0119,25,3,0.6227486134245434,0.6805555555555557,9.370349,0.26794273,0.0,0,28.0,1
GENE_0952,23,1,0.6142580188922491,0.7222222222222223,10.026079,0.21253222,0.0,0,18.0,1
GENE_0291,23,1,0.6124758584912559,0.8888888888888888,9.198011,0.12336326,0.300306111574173,1,25.0,1
GENE_0862,12,1,0.606904791320845,0.25925925925925924,10.4847355,0.13445576,0.35376647114753723,1,24.0,0
GENE_0121,23,1,0.5987549778704038,0.234006734006734,10.789349,0.2556639,0.0,0,31.0,0
GENE_0634,23,1,0.5934913265502385,0.2895622895622896,10.596433,0.04431047,0.0,0,33.0,0
GENE_0863,23,1,0.5729952968767691,0.19907407407407407,11.603683,0.20803697,0.0,0,33.0,0
GENE_0420,25,3,0.5729428376754852,0.2407407407407407,9.591599,0.25045997,0.3318365812301636,1,29.0,0
GENE_0156,23,1,0.568217420202093,0.1111111111111111,10.326327,0.1844081,0.9644207954406738,3,26.0,0
GENE_0360,25,3,0.5636284778136249,0.8148148148148149,10.051633,-0.09989509,0.0,0,27.0,1
GENE_0549,25,3,0.5610586966229447,0.35555555555555557,9.553828,0.08619495,0.0,0,22.0,0
GENE_0438,25,3,0.5594708308528576,0.06734006734006734,11.261589,0.28199977,0.40324705839157104,1,43.0,0
GENE_1138,23,1,0.5519914004214939,0.27777777777777773,9.682564,0.15383074,0.0,0,34.0,0
GENE_0207,25,3,0.5455835318137822,0.05092592592592592,10.5954075,0.28553635,0.6974328756332397,2,37.0,0
GENE_0279,19,0,0.5446822686667137,0.0,10.612709,0.20659606,1.0494678616523743,3,40.0,0
GENE_0457,20,5,0.5312612533569336,0.0,10.7501,0.049391903,1.2313233613967896,3,45.0,0
GENE_0642,24,6,0.5299459641027002,0.0,11.060068,0.06528042,0.979933500289917,3,46.0,0
GENE_0673,25,3,0.5289955698438774,0.06734006734006734,10.843107,0.029773392,1.0257081985473633,3,27.0,0
GENE_1011,7,1,0.5251386482416631,0.10648148148148147,10.646097,0.102447614,0.6676338613033295,2,30.0,0
GENE_0505,6,7,0.5248393222651168,0.0,11.033225,-0.044054307,2.062435805797577,6,42.0,0
GENE_0198,25,3,0.5240269436720384,0.14814814814814814,10.050715,0.056872826,0.6929689347743988,2,31.0,0
GENE_0477,25,3,0.5235052677457337,0.17845117845117842,10.066028,0.2415744,0.3647943437099457,1,24.0,1
GENE_0379,25,3,0.5070648259287547,0.05092592592592592,11.035875,0.06404232,0.9155073165893555,3,25.0,0
GENE_0100,0,7,0.5018703858423467,0.0,11.013624,0.08549396,1.339670181274414,4,27.0,0
GENE_0023,23,1,0.49748093976268837,0.0925925925925926,10.31759,0.06074838,0.9613255560398102,3,22.0,0
GENE_0321,0,7,0.49741974264709643,0.0,10.636296,-0.025089964,1.0940596163272858,3,46.0,0
GENE_0453,23,1,0.49439414985246294,0.24491202048416993,9.448045,0.40220654,0.0,0,22.0,0
GENE_0342,24,6,0.49303311315541176,0.0,9.938347,0.16918263,1.454420804977417,4,38.0,0
GENE_0323,20,5,0.48980690698920404,0.0,10.96746,0.23256685,0.692266434431076,2,34.0,0
GENE_0732,23,1,0.48812001366891916,0.05092592592592592,9.392281,0.20122363,0.9744774699211121,3,37.0,0
GENE_0946,23,1,0.4880519736135174,0.196969696969697,9.539616,0.3351499,0.0,0,32.0,0
GENE_0118,24,6,0.4879851648752479,0.0,10.660475,0.076427564,1.02407768368721,3,35.0,0
GENE_0945,23,1,0.4879411679568266,0.17845117845117844,10.433606,-0.02327308,0.3067743480205536,1,30.0,0
GENE_1198,17,4,0.4843889716695018,0.0,9.772339,0.19322677,1.6285811960697174,4,37.0,0
GENE_0183,25,3,0.4843249721084537,0.12289562289562289,11.0922365,0.2781198,0.0,0,26.0,0
GENE_1158,17,4,0.48221577221627143,0.0,10.161891,0.25337106,0.7575549781322479,2,47.0,0
GENE_0864,19,0,0.4817233521192894,0.0,11.1558,0.049022153,1.2689782083034515,4,24.0,0
GENE_0493,19,0,0.4803554574733724,0.0,10.27061,0.18283322,1.0312011241912842,3,32.0,0
GENE_0889,19,0,0.4778050415218078,0.0,11.094952,0.19666854,0.48153018951416016,1,49.0,0
GENE_0466,17,4,0.4741482287161356,0.0,10.802546,0.16558209,0.730032742023468,2,36.0,0
GENE_0103,20,5,0.4700718697331979,0.0,11.511942,0.13350159,0.7961476147174835,2,30.0,0
GENE_1100,8,5,0.46945232404441406,0.0,9.857762,0.18529542,0.9538450539112091,3,40.0,0
GENE_0223,8,5,0.46832712587348824,0.0,10.346941,0.088380665,0.8656782805919647,2,53.0,0
GENE_0040,10,2,0.4680150926074667,0.0,10.535515,-0.12434694,1.823871910572052,5,42.0,0
GENE_0834,5,0,0.4677044784252899,0.0,10.526913,0.23747776,0.9478055238723755,3,24.0,0
GENE_0313,8,5,0.46640423553312543,0.0,10.822172,0.24157366,0.6680418252944946,2,31.0,0
GENE_0181,17,4,0.46414595337509834,0.0,10.828827,0.30952537,0.32853230834007263,1,44.0,0
GENE_0246,17,4,0.4633951255223725,0.0,11.072155,0.16635473,0.6424421668052673,2,33.0,0
GENE_1009,24,6,0.461237377007935,0.0,10.222631,0.41075903,0.7423821091651917,2,33.0,0
GENE_0757,25,3,0.4610150811574397,0.1690537521021849,9.634205,0.08950549,0.30311140418052673,1,32.0,0
GENE_1058,23,1,0.4584827031243452,0.06944444444444443,9.213203,0.09750993,1.6703613698482513,5,28.0,0
GENE_0617,10,2,0.45810468665691567,0.0,10.885975,0.28841642,0.3721102774143219,1,38.0,0
GENE_0744,20,5,0.45269544875123147,0.0,10.516503,0.13236454,0.6431265771389008,2,56.0,0
GENE_0280,9,4,0.4522613148387764,0.0,9.677314,0.23455754,1.0880372524261475,3,29.0,0
GENE_0777,9,4,0.45213508582854656,0.0,9.901267,0.16965277,1.6517925560474396,5,28.0,0
GENE_0196,17,4,0.4520361524974344,0.0,10.665115,0.061630104,0.9299144148826599,3,31.0,0
GENE_1137,6,7,0.4514626895498435,0.0,10.624253,-0.18638787,1.0929360687732697,3,42.0,0
GENE_0303,24,6,0.45044647939596844,0.0,10.420305,-0.07949635,1.0857439935207367,3,38.0,0
GENE_0853,10,2,0.450305814978541,0.0,10.843614,0.013051407,0.7971495687961578,2,37.0,0
GENE_0583,8,5,0.45013104945729626,0.0,12.537307,0.3070819,0.644511342048645,2,20.0,0
GENE_0061,1,0,0.4498295568446894,0.0,9.687543,0.18229271,0.871318906545639,2,43.0,0
GENE_0784,10,2,0.44973202999905326,0.0,9.797527,0.06935944,1.0046633780002594,3,50.0,0
GENE_0694,20,5,0.4493738353789475,0.0,9.8129,0.229584,0.9620582759380341,3,32.0,0
GENE_0966,25,3,0.4489458657636824,0.10648148148148147,10.775478,0.16494653,0.39402836561203003,1,16.0,0
GENE_0483,10,2,0.4459567414325337,0.0,10.601523,0.06499261,0.9368422627449036,3,30.0,0
GENE_0312,3,7,0.44467367529869084,0.0,10.525804,-0.35358432,1.7722373008728027,5,45.0,0
GENE_0370,24,6,0.44311898263200444,0.0,9.89416,0.040171035,0.9755978882312775,3,51.0,0
GENE_0879,10,2,0.4431074002442844,0.0,10.544085,-0.15154858,1.02268385887146,3,46.0,0
GENE_0209,20,5,0.4430448485090771,0.0,9.687494,0.1901604,1.322607398033142,4,28.0,0
GENE_0053,25,3,0.44256243631188735,0.05555555555555555,9.401764,0.20514563,0.7458337545394897,2,34.0,0
GENE_0576,20,5,0.4420307726633206,0.0,10.336173,0.08658887,0.7249669134616852,2,45.0,0
GENE_0718,24,6,0.44161318411496037,0.0,10.15638,0.27867568,0.6648808419704437,2,34.0,0
GENE_0076,25,3,0.4405708554589385,0.042015978199429434,9.709068,0.18042526,0.9509640038013458,3,24.0,0
GENE_1115,19,0,0.4405260985469328,0.0,9.936884,0.20340478,0.9699057340621948,3,29.0,0
GENE_0612,24,6,0.4398990636821418,0.0,10.472,0.025257481,1.3352823853492737,4,25.0,0
GENE_0276,11,1,0.439817026165464,0.013888888888888888,10.781373,0.18820798,0.6860566139221191,2,24.0,0
GENE_0355,7,2,0.4384309361142709,0.0,9.884934,0.19115576,1.1055191159248352,3,24.0,0
GENE_0234,23,1,0.4382608022910856,0.06734006734006734,10.514715,0.19406669,0.34356462955474854,1,29.0,0
GENE_0286,16,3,0.43739179607066603,0.0,10.677123,0.093746975,0.9223667979240417,3,25.0,0
GENE_0270,19,0,0.4370129585266114,0.0,8.285801,0.2862084,1.1895183324813843,3,46.0,0
GENE_0345,9,4,0.4348808032448799,0.0,9.851307,0.119911164,1.0372824966907501,3,32.0,0
GENE_0284,26,4,0.4346777815650916,0.0,10.961183,-0.059867077,1.2712960243225098,4,21.0,0
GENE_1133,24,6,0.43457426362193985,0.0,9.29722,0.15169536,1.0285059213638306,3,40.0,0
GENE_0923,24,6,0.43310204721618706,0.0,10.153081,0.17021355,0.7664273381233215,2,35.0,0
GENE_0671,23,1,0.43082655326128266,0.12806397507420073,9.274841,0.38264346,0.0,0,41.0,0
GENE_1114,19,0,0.42784362194496683,0.0,10.366652,0.008162916,1.325227826833725,4,25.0,0
GENE_1080,25,3,0.42734309067684856,0.013888888888888888,9.80011,0.22575709,0.9604832231998444,3,23.0,0
GENE_0873,8,5,0.42682967720751075,0.0,10.137993,0.09174724,0.9894321262836456,3,29.0,0
GENE_0970,6,7,0.4254958638752952,0.0,10.748758,-0.26925266,1.5618619620800018,4,33.0,0
GENE_0486,9,4,0.42482753783674654,0.0,9.631186,0.11912773,1.002839356660843,3,35.0,0
GENE_0667,10,2,0.42470859386392884,0.0,9.024275,0.26158798,1.6767247915267944,5,30.0,0
GENE_0983,24,6,0.4242439188063145,0.0,9.569738,-0.041405633,2.0049404203891754,6,46.0,0
GENE_0918,17,4,0.42400444890553846,0.0,10.815732,0.15717398,0.3267892897129059,1,51.0,0
GENE_0951,25,3,0.4239345546201481,0.05555555555555555,9.938647,0.28325322,0.3750247061252594,1,31.0,0
GENE_0378,1,0,0.4238207270537463,0.0,9.825629,0.14504416,0.7297976315021515,2,43.0,0
GENE_0091,23,1,0.4235792940456294,0.06944444444444443,10.161589,0.24430431,0.350445032119751,1,27.0,0
GENE_0377,8,5,0.4230451237805694,0.0,9.713846,0.19584082,0.9918964207172394,3,28.0,0
GENE_0058,25,3,0.42289828250921346,0.0,8.798326,0.25602263,1.8489249646663666,5,34.0,0
GENE_0471,8,5,0.42198911989675464,0.0,10.616743,0.16776566,0.7651476263999939,2,24.0,0
GENE_0055,15,0,0.4175036882286141,0.0,9.566626,0.25148445,0.9525845944881439,3,27.0,0
GENE_0472,23,1,0.41689185175320653,0.14814814814814814,11.167898,-0.005487226,0.0,0,22.0,0
GENE_1014,10,2,0.41671605078239227,0.0,10.040751,0.050508592,1.013352483510971,3,30.0,0
GENE_1038,17,4,0.41626221822058745,0.0,10.29364,0.15853101,0.6786572933197021,2,33.0,0
GENE_0687,12,3,0.4148345307520638,0.0,9.720148,0.14874436,0.9737967848777771,3,30.0,0
GENE_0552,3,7,0.41472865545489873,0.0,11.392637,-0.051986635,0.6242395639419556,2,37.0,0
GENE_0096,9,4,0.41403240276802,0.0,10.4334345,0.23985314,0.6141679883003235,2,27.0,0
GENE_0756,17,4,0.41363026487738297,0.0,10.227196,0.21970654,0.3995867669582367,1,44.0,0
GENE_0648,23,1,0.4133764358136705,0.05092592592592592,11.326417,-0.13470575,0.6569319665431976,2,27.0,0
GENE_1134,17,4,0.41137784660316745,0.0,11.82219,0.046023995,0.3656832277774811,1,41.0,0
GENE_0567,27,4,0.41103876501240777,0.0,10.145666,0.060562342,0.9465369880199432,3,29.0,0
GENE_1148,7,5,0.40963450681601193,0.0,9.905297,0.08509989,1.1241426765918732,3,23.0,0
GENE_0564,13,7,0.40833292095232515,0.0,10.179811,-0.2047953,1.073932409286499,3,41.0,0
GENE_0035,25,3,0.4081605558957645,0.08099713502794469,9.0515,0.1172868,1.0410780012607574,3,17.0,0
GENE_0798,29,7,0.4078076556305728,0.0,9.936348,-0.01203737,1.2602908313274384,4,29.0,0
GENE_0829,18,5,0.40722562258354306,0.0,9.85363,0.037001953,1.0323464274406433,3,31.0,0
GENE_1085,0,7,0.4071303717474408,0.0,9.868657,-0.10811828,1.1562343835830688,3,37.0,0
GENE_0271,9,4,0.40502488283927807,0.0,9.877142,-0.02941668,0.9851236939430237,3,37.0,0
GENE_0133,20,5,0.40494592887416586,0.0,10.88121,0.17393029,0.6433329582214355,2,20.0,0
GENE_0109,27,7,0.4044814475439024,0.0,10.551997,-0.13560845,1.4924493432044983,4,26.0,0
GENE_0011,17,4,0.4037516210208974,0.0,8.634983,0.33737463,1.4040176272392273,4,29.0,0
GENE_0531,23,1,0.4037083270145063,0.05074805142074343,9.458751,0.2616346,0.6186974346637726,2,26.0,0
GENE_0509,23,1,0.4027993240673353,0.125,9.378131,0.10804146,0.3106854557991028,1,32.0,0
GENE_0410,22,1,0.4015007458425713,0.013888888888888888,10.373888,0.035917215,0.9323623180389404,3,21.0,0
GENE_1181,24,6,0.4002485132844671,0.0,10.010962,0.10671579,0.9525313079357147,3,25.0,0
GENE_0737,20,5,0.40002122111573374,0.0,10.415511,0.11978522,0.687061607837677,2,29.0,0
GENE_0595,10,2,0.3992251078653569,0.0,9.892155,-0.004246846,1.3268769085407257,4,27.0,0
GENE_0032,10,2,0.39761082258583696,0.0,10.454977,0.021581871,0.6389724612236023,2,37.0,0
GENE_0643,20,5,0.3965236857852197,0.0,9.871153,-0.044481896,0.9848735928535461,3,36.0,0
GENE_0136,8,5,0.39594171533322897,0.0,9.4147625,0.1478459,0.9230437874794006,3,33.0,0
GENE_0419,10,2,0.39524410915079794,0.0,11.170922,-0.12151004,0.6235568225383759,2,37.0,0
GENE_0177,25,3,0.3947986826496581,0.17845117845117842,8.303524,0.29350448,0.0,0,33.0,0
GENE_0707,8,5,0.3944710981938291,0.0,8.564308,0.25356257,1.6295075714588165,5,31.0,0
GENE_0626,24,6,0.3927258800786064,0.0,10.422278,-0.1660834,1.0690473914146423,3,30.0,0
GENE_0724,10,2,0.39201303144496225,0.0,10.016007,0.12539192,0.7022700309753418,2,33.0,0
GENE_0876,14,4,0.39198936184868866,0.0,9.782961,0.17395836,0.9760359227657318,3,21.0,0
GENE_0875,25,3,0.3917028043121434,0.0925925925925926,9.870135,0.091230035,0.320699542760849,1,30.0,0
GENE_0591,25,3,0.39155457496573876,0.05180492313900233,9.035464,0.39463976,0.7399144172668457,2,22.0,0
GENE_0615,24,6,0.3914789375755239,0.0,9.563292,-0.005539492,1.726488322019577,5,31.0,0
GENE_0794,24,6,0.3914752568955939,0.0,9.906422,0.021695673,1.0553081929683685,3,26.0,0
GENE_0470,25,3,0.3913265322029473,0.12289562289562289,9.817615,0.048174985,0.3976164162158966,1,22.0,0
GENE_1029,13,7,0.391316070774038,0.0,11.247284,-0.08519301,0.6310940682888031,2,33.0,0
GENE_0775,25,3,0.3911288597024721,0.013888888888888888,10.386626,0.27250946,0.39102283120155334,1,26.0,0
GENE_0443,24,6,0.38953060699703435,0.0,9.189751,0.08331302,0.989082932472229,3,37.0,0
GENE_0712,22,0,0.3892814120102463,0.0,10.053084,0.06754755,0.9142182171344757,3,26.0,0
GENE_0710,13,7,0.3890396585026106,0.0,9.324515,0.09246597,0.962801456451416,3,35.0,0
GENE_0734,19,0,0.38897985963329224,0.0,10.063255,-0.16642863,1.1424008309841156,3,33.0,0
GENE_0282,20,5,0.3887099143795536,0.0,10.047081,0.2559383,0.4242059290409088,1,35.0,0
GENE_0869,1,0,0.3885535165893681,0.0,10.546915,0.13940823,0.4112282693386078,1,35.0,0
GENE_1171,4,3,0.3882969224676304,0.0,9.666089,0.109385744,1.5976847112178802,5,20.0,0
GENE_0713,19,0,0.38810375525461627,0.0,10.349782,-0.06716351,0.9381387829780579,3,29.0,0
GENE_0180,17,4,0.3879767314375927,0.0,9.335782,0.17431168,0.673192024230957,2,43.0,0
GENE_0066,6,7,0.3876491670980492,0.0,9.744249,-0.022849357,1.2753525972366333,4,28.0,0
GENE_0822,22,3,0.3875055795131382,0.013888888888888888,9.826826,-0.028044738,1.621711552143097,5,23.0,0
GENE_1049,23,1,0.3868734469260234,0.05555555555555555,9.603378,0.1131901,0.6497001349925995,2,27.0,0
GENE_0242,9,4,0.385961558677312,0.0,10.71205,-0.10378945,0.9721299111843109,3,23.0,0
GENE_0821,17,4,0.3853341364581264,0.0,11.384033,0.060993697,0.3256014883518219,1,35.0,0
GENE_1023,10,2,0.3846317237375849,0.0,10.996803,0.22769977,0.3353520631790161,1,23.0,0
GENE_0146,24,6,0.38442624082944193,0.0,11.411661,0.110014364,0.3518327474594116,1,30.0,0
GENE_0255,15,1,0.3843613772429247,0.0,9.542376,0.09839219,1.2623313069343567,4,22.0,0
GENE_0978,23,1,0.38386347084534667,0.09992948838174809,8.6406555,0.22137958,0.312839537858963,1,39.0,0
GENE_0921,17,4,0.3831930583453646,0.0,11.622428,0.22001593,0.0,0,38.0,0
GENE_0891,27,2,0.382484134284719,0.0,9.544001,-0.005420208,2.05557918548584,6,29.0,0
GENE_0231,10,2,0.3823090578113767,0.0,9.011262,0.05874918,1.0563639402389526,3,37.0,0
GENE_0049,5,0,0.38204589720998433,0.0,9.92388,-0.018577563,1.286414921283722,4,23.0,0
GENE_1086,29,0,0.38197394486360814,0.0,9.959949,0.25189418,0.6210132837295532,2,26.0,0
GENE_0817,6,7,0.3816116733023188,0.0,9.639077,0.10640196,0.9929734170436859,3,25.0,0
GENE_0012,17,4,0.3815559783139506,0.0,10.302272,0.095038176,0.7309083342552185,2,26.0,0
GENE_0102,8,5,0.3814305918125552,0.0,9.865925,0.21168038,0.6526273190975189,2,29.0,0
GENE_0796,24,6,0.3807187961791942,0.0,10.62136,-0.01071379,0.745937705039978,2,27.0,0
GENE_1001,10,2,0.38017210612277974,0.0,10.903872,-0.038790733,0.35286834836006165,1,42.0,0
GENE_0371,23,1,0.37990239278253385,0.05092592592592592,10.8540945,0.09941478,0.3462388515472412,1,19.0,0
GENE_0192,24,6,0.3796601214264138,0.0,10.702193,-0.0011891872,0.7368606328964233,2,25.0,0
GENE_0759,19,0,0.3795838487741375,0.0,9.763656,0.23265395,0.476392924785614,1,37.0,0
GENE_0650,20,5,0.37904517978040253,0.0,9.6128435,0.08530967,1.0217561721801758,3,25.0,0
GENE_0343,20,5,0.3787398269932872,0.0,9.766417,0.051640656,0.8401587009429932,2,33.0,0
GENE_1020,24,6,0.37873480793197434,0.0,9.596825,0.128369,1.0885022580623627,3,19.0,0
GENE_0179,23,1,0.37825046599363865,0.16203703703703703,8.88086,0.33658144,0.0,0,25.0,0
GENE_0808,19,0,0.37819903968263435,0.0,8.959006,-0.027276717,1.78905388712883,5,40.0,0
GENE_0810,24,6,0.3779859224425166,0.0,9.784391,0.29125533,0.6269187033176422,2,25.0,0
GENE_0778,24,6,0.37771294638042036,0.0,11.585404,0.13176984,0.3232985734939575,1,28.0,0
GENE_0330,20,5,0.37760469387014356,0.0,10.128301,0.26467305,0.6406260430812836,2,20.0,0
GENE_0426,29,3,0.37678987110669476,0.0,10.423246,-0.027770773,0.9572209715843201,3,21.0,0
GENE_1187,8,5,0.3763480563479617,0.0,9.969331,-0.1884328,1.97280153632164,6,33.0,0
GENE_0070,25,3,0.37567807533911646,0.05092592592592592,10.510593,0.04296232,0.3283833861351013,1,29.0,0
GENE_0155,17,4,0.375047733001318,0.0,10.720067,0.332857,0.0,0,36.0,0
GENE_0274,20,5,0.3746172949085001,0.0,9.980598,0.030251473,0.9615935981273651,3,24.0,0
GENE_0399,17,4,0.3745355788324497,0.0,10.806342,-0.026437558,0.6422595679759979,2,28.0,0
GENE_0711,25,3,0.37356038983781736,0.030303030303030304,10.500313,0.13280004,0.32512420415878296,1,28.0,0
GENE_0176,20,5,0.37353112159860513,0.0,9.914572,0.11103473,0.6603696942329407,2,33.0,0
GENE_0669,19,0,0.373160090537124,0.0,10.631139,0.15113209,0.38168594241142273,1,30.0,0
GENE_0656,25,3,0.37291061625379834,0.05092592592592592,9.121981,0.20022637,0.6716845035552979,2,26.0,0
GENE_0257,20,5,0.37189132764658084,0.0,10.72825,0.18835163,0.38658347725868225,1,25.0,0
GENE_0579,10,2,0.3703928511549879,0.0,10.361693,0.03953761,0.38626807928085327,1,43.0,0
GENE_0593,10,2,0.3702585136429137,0.0,10.283909,0.31424966,0.3155535161495209,1,28.0,0
